question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
366,Biosferin biomüxtəlifliyini qorumaq üçün əsas addım hansıdır?,Sənaye tullantılarının artırılması,Milli parkların yaradılması,Su ehtiyatlarının israf edilməsi,Meşələrin yandırılması,Meşələrin qırılması,b
367,Hansı fəaliyyət biosferdə karbon qazının miqdarını artırır?,Fotosintez,Sənaye emissiyaları,Yağış,Düzgün cavab yoxdur,Karbon qazının udulması,b
368,Hansı ekosistem biosferin karbon dövranına ən çox təsir edir?,Tundra,Tropik meşələr,Arktik buzlaqlar,Düzgün cavab yoxdur,Çöllər,b
369,Biosferdə azotun dövranında əsas rolu hansı orqanizmlər oynayır?,Balıqlar,Torpaq bakteriyaları,Bitkilər,Sürünənlər,Quşlar,b
370,Torpaqda üzvi maddə əsasən hansı qatdadır?,D qatı,E qatı,C qatı,B qatı,A qatı,e
371,Ətraf mühitin iqtisadiyyatının tədqiqat obyektinə aid olmayan:,təbiətlə cəmiyyətin qarşılıqlı əlaqəsi;,təbii şəraitin qiymətləndirilməsi;,təbii ehtiyatların qiymətləndirilməsi;,təbii resurs potensialı;,elektroenergetika sənayesi,e
372,Təbiətin mühafizəsi hansı tədqiqat obyektinə aiddir?,günəş enerjisi.,litosfer,atmosfer,təbiətdən istifadənin iqtisadiyyatına,hidrosfer,d
373,Ətraf mühitin iqtisadiyyatı bu obyektləri öyrənmir:,hava,su,torpaq,atom enerjisini,günəş enerjisi;,d
374,Ətraf mühitin iqtisadiyyatı fənninin predmetinə aid deyil?,təbii resursların istifadəsi,təbii resursların emalı,təbii resursların hasilatı,kompleks istehsallar,təbii sərvətlərin istehlakı,d
375,Təbiətlə cəmiyyətin qarşılıqlı əlaqələri hansı elmin tədqiqatlarına aiddir?,təbiətlə cəmiyyətin qarşılıqlı əlaqəsi.,təbii resurs potensialının ərazi təşkili.,təbii resursların istehsala cəlb olunması,təbii şəraitin müəyyən olunması.,təbiətdən istifadənin iqtisadiyyatının tədqiqatlarına,e
376,Ərazidə baş verən proseslər necə adlanır?,kənd təsərrüfatından istifadə,nəqliyyatdan istifadə.,ərazidən istifadə.,təbiətdən istifadə,sənaye sahəsindən istifadə.,d
377,Təbii resurslardan istifadənin qiymətləndirilməsi təbiətdən istifadənin göstəricilərindəndir?,cəmiyyətlə təbiətin qarşılıqlı əlaqəsi.,təbii resurslardan istifadənin qiymətləndirilməsi,təbii şəraitin qiymətləndirilməsi.,praktiki aspektlərindən biri,ekoloji- iqtisadi sistemlər,d
378,Təbii resurs potensialını öyrənən elm hansıdır?,təbii resurs potensialını,təbii ərazi komplekslərini,təbii şəraiti,təbiətdən istifadənin iqtisadiyyatı,ərazi istehsal kompleksləri,d
379,Ekoloji iqtisadiyyatın əsas prinsipləri hansılardır?,Resurslardan yalnız iqtisadi qazanc məqsədilə istifadə etmək,Davamlı inkişafı təmin etmək və ekosistem balansını qorumaq,Ətraf mühitin qorunmasına ehtiyac olmadan məhsuldarlığı artırmaq,İqtisadi böyüməni maksimuma çatdırmaq üçün bütün resursları sərf etmək,Qlobal sənayeləşməni təşviq etmək,b
380,İş şəraitinin fizioloji baxımdan optimal olması üçün əsas amil nədir?,Fiziki və psixoloji yüklənmənin balanslaşdırılması,Daimi olaraq istirahət vaxtlarının uzadılması,İşçilərin iş mühitinə uyğun seçilməsi,İş saatlarının azaldılması,Texniki vasitələrin artırılması,a
381,Ergonomika hansı məqsədi güdür?,Təbii resurslardan istifadənin optimallaşdırılması,Texniki prosesləri sürətləndirmək,Fiziki gücün artırılmasını təmin etmək,İş şəraitini insanın fizioloji xüsusiyyətlərinə uyğunlaşdırmaq,İdarəetmə sistemini təkmilləşdirmək,d
382,Əməyin fiziologiyası nəyi öyrənir?,Əmək məhsuldarlığını artırmaq yollarını,Əmək hüququnun prinsiplərini,İşçilərin sosial müdafiə hüquqlarını,Texniki avadanlıqların səmərəliliyini,İşçinin sağlamlıq vəziyyətinə təsir edən fizioloji prosesləri,e
383,Aqrar sektorda əsas istehsal vasitəsi hansıdır?,Təbii gübrələr,Əmək resursları,Kapital,Torpaq,Maşın və texnika,d
384,Torpaq islahatı hansı məqsədlə həyata keçirilir?,Kənd ərazilərində iqtisadi inkişafı sürətləndirmək üçün,Kənd təsərrüfatında məhsuldarlığı artırmaq üçün,Yalnız suvarma sistemlərinin təkmilləşdirilməsi üçün,Torpaq mülkiyyətçiliyinin yenidən bölüşdürülməsi üçün,Əmək bazarının genişləndirilməsi üçün,d
385,Aqrar münasibətlər kənd təsərrüfatında hansı əlaqələri əhatə edir?,Ticarət və istehlak əlaqələrini,Sənaye istehsalı ilə əlaqələri,Dövlət idarəetməsi ilə istehsalçılar arasındakı münasibətləri,Kənd təsərrüfatında idxal-ixrac əlaqələrini,"Torpaq, əmək və istehsal vasitələri ilə bağlı münasibətləri",e
386,Davamlı inkişaf prinsiplərini ilk dəfə hansı sənəd təsbit etmişdir?,Kyoto Protokolu,BMT-nin İqlim Dəyişikliyi Çərçivə Konvensiyası,Paris Anlaşması,Rio Konfransı (1992),Stokholm Konfransı (1972),e
387,Hansı göstərici davamlı inkişafa uyğun iqtisadi sistemin mövcudluğunu təsdiqləyir?,Texnologiyanın davamlı modernləşdirilməsi,Yalnız iqtisadi artımın yüksək olması,Ətraf mühitin qorunması və sosial ədalətin təmin edilməsi,Təbii resurslardan tam istifadə,Enerji sərfiyyatının artırılması,c
388,Ekoloji iqtisadiyyatın əsas məqsədi nədir?,Sənaye istehsalını artırmaq,Ətraf mühitin iqtisadi proseslərə təsirini minimuma endirmək,Ətraf mühitin tamamilə qorunması,Resursların davamlı istifadəsini təmin etmək,Yalnız təbii resurslardan istifadəni təşviq etmək,d
389,Ətraf mühitin sağlamlığının təmin olunması üçün hansı tədbir təklif edilir?,Təbiət ehtiyatlarının istifadəsi tam dayandırılmalıdır,Əkin sahələrinin genişləndirilməsi,Sənaye sahələri bağlanmalıdır,Məqsədli maliyyələşdirmədən istifadə edilməlidir,Yalnız yerli hökumət dəstəyi artırılmalıdır,d
390,Kür-Araz ovalığında ekoloji problemlər hansı amillə bağlıdır?,Texnogen landşaftların yaranması,Dağ-mədən sənayesinin təsiri,Meşə örtüyünün azalması,Şoranlaşmış torpaqların mövcudluğu,Zəhərli kimyəvi maddələrin normadan artıq tətbiqinə görə,d
391,Ekoloji problemlərin həlli hansı səbəblərə görə çətinləşir?,Əhalinin təhsil səviyyəsinin aşağı olmasına görə,Beynəlxalq dəstəyin olmaması,Respublikanın təbii sərvətlərinin azlığı,Dövlət vəsaitlərinin ekoloji problemlərə yönəldilməməsi,İqtisadi və sosial-iqtisadi problemlərin çoxluğu,e
392,Biosferin biomüxtəlifliyinə insan müdaxiləsinin ən müsbət təsiri nə ola bilər?,Ekosistemlərin tərk edilməsi,Plastik tullantıların artırılması,Meşələrin məhv edilməsi,Biomüxtəliflik ehtiyatlarının qorunması,Qlobal istiləşmə,d
393,Qlobal istiləşmə biosferin hansı komponentinə daha çox təsir edir?,Hamısına,Biosfer,Atmosfer,Hidrosfer,Litosfer,a
394,Hansı təbii proses biosferdə karbon qazını atmosferdən təmizləyir?,Vulkan püskürməsi,Fotosintez,Su buxarlanması,Qlobal istiləşmə,Azot dövranı,b
395,Biosferdə heyvanların enerji mənbəyi nədir?,Minerallar,Hamısı doğrudur,Günəş şüaları,Vulkan qazları,Bitkilər və digər heyvanlar,e
396,Hansı ekosistem biosferdə ən çox suyu saxlayır?,Səhra,Dağlıq ərazilər,Tundra,Tropik meşələr,Kriosfera,d
397,Biosferdə torpağın itirilməsi hansı prosesə səbəb ola bilər?,Fotosintez artımı,Eroziya,Karbon qazının azalması,Doğru cavab yoxdur,Vulkan püskürməsi,b
398,Biosferdə suyun buxarlanması hansı təbii hadisəni başlatır?,Karbon dövranı,Su dövranı,Fotosintez,Neft,Azot dövranı,b
399,Hansı insan fəaliyyəti biosferdə ən çox çirklənməyə səbəb olur?,Avtomobil emissiyaları,Qlobal istiləşmə,Plastik istehsalı,Bütün hamısı,Meşələrin məhv edilməsi,d
400,Biosferdəki hansı təbii resurs tükənməzdir?,Təmiz su,Günəş enerjisi,Meşə məhsulları,Kriosfera,Neft ehtiyatları,b
401,Hansı su hövzəsi biosferdə karbonun saxlanmasında əsas rol oynayır?,Tropik meşələr,Okeanlar,Dağ çayları,Heç biri,Şirin su gölləri,b
402,Biosferin biomüxtəlifliyini artıran ən vacib amil hansıdır?,Hamısı doğrudur,Səhraların genişlənməsi,İnsan fəaliyyəti,Tropik bölgələrdə iqlim sabitliyi,Vulkanik fəaliyyət,d
403,Hansı təbii proses biosferdə qida istehsalına kömək edir?,Vulkan püskürməsi,Fotosintez,Yeraltı qazların buraxılması,Qlobal istiləşmə,Qasırğa,b
404,Hansı canlı qrupu biosferin karbon dövranında ən vacib rol oynayır?,Həşəratlar,Fitoplankton,Balıqlar,Sürünənlər,Quşlar,b
405,Biosferin biomüxtəlifliyinə təsir edən əsas amillər hansılardır?,Vulkan püskürmələri,İqlim dəyişiklikləri,Torpağın eroziyası,Fotosintez,Günəşin parlaqlığı,b
406,Hangi ekosistem biosferdə ən az rast gəlinən biomüxtəlifliyə malikdir?,Tropik meşələr,Arktik tundralar,Okeanlar,Hamısı doğrudur,Səhra,b
407,Azotun biosferdə əsas dövranı hansı proseslə həyata keçirilir?,Bitkilərin tənəffüsü,Azot fiksasiyası,Yağışın əmələ gəlməsi,Kriosfera,Torpağın eroziyası,b
408,Biosferdə enerji dövranı hansı istiqamətdə hərəkət edir?,Dairəvi olaraq,"Bitkilərdən heyvanlara, sonra mikroorqanizmlərə",Vulkanlardan birbaşa atmosferə,Üçbucaq olaraq,"Xətti olaraq, yüksəkdən aşağıya doğru",b
409,Yer kürəsinin neçə faizi biosferə daxil olan canlı yaşayış yerlərindən ibarətdir?,25.00%,50.00%,Təxminən 100%,Təxminən 1%,Təxminən 10%,d
410,Plastik tullantıların okeanlarda toplanması biosferdə hansı təsirə səbəb olur?,Balıqların sayının artması,Biomüxtəlifliyin azalması,Torpağın eroziyasının dayanması,Doğru cavab yoxdur,Okean səviyyəsinin azalması,b
411,Hansı təbii hadisə biosferin biomüxtəlifliyinə müsbət təsir göstərə bilər?,Zəlzələ,Yağış meşələrinin genişlənməsi,Qasırğa,Yanğın,Vulkan püskürməsi,b
412,Biosferdə karbonun saxlanıldığı əsas yer haradır?,Atmosfer,Torpaq və okeanlar,Dağlar,Günəş şüaları,Ayın səthi,b
413,Hangi proses biosferdə suyun dövranını təmin edir?,Fotosintez,Buxarlanma və yağıntı,Torpağın eroziyası,Hamısı doğrudur,Vulkan püskürməsi,b
414,Aşağıda sadalanan ərazilərdən hansında texnogen pozulmuş torpaq sahələri daha çoxdur?,Muğan düzləri,Naxçıvan MR,"Bakı, Sumqayıt və Gəncə",Kür-Araz ovalığı,Balakən rayonu,c
415,Kənd təsərrüfatında hansı fəaliyyət nəticəsində torpaqlar çirklənməyə məruz qalmışdır?,Torpaqların meliorasiyası,Bitkilərin düzgün suvarılması,Əkin sahələrinin genişləndirilməsi,Zavod tullantılarının ətraf mühitə atılması,Zəhərli kimyəvi maddələrin normadan artıq tətbiqi,e
416,Azərbaycanın hansı ərazisində neft çıxarma sənayesi nəticəsində ətraf mühitə böyük təsir olmuşdur?,Daşkəsən rayonu,Naxçıvan MR,Doğru cavab yoxdur,Xəzər dənizi və Abşeron yarımadası,Şirvan şəhəri,d
417,Azərbaycan Respublikasında ətraf mühitin mühafizəsi məsələləri nə zaman daha da kəskinləşmişdir?,Son 20 ildə,XXI əsrin əvvəllərində,Doğru cavab yoxdur,Son 40 ildə,Keçmiş SSRİ dağıldıqdan sonra,d
418,Ətraf mühitin keyfiyyətini tənzimləmək üçün hansı tədbir daha vacibdir?,Ətraf mühitin monitorinqinin təşkili,Yalnız təbiəti müşahidə etmək,Faydalı qazıntıların hasilatını genişləndirmək,Resursların istehlakını artırmaq,İnsanların maraqlarını nəzərə alaraq optimal vəziyyətə nail olmaq,e
419,Biosferin vəziyyətini öyrənərkən hansı məsələ aydınlaşdırılmalıdır?,Zavod tullantılarının ətraf mühitə atılması,Təbii resursların maksimum istehsalı yolları,İnsanların təsərrüfat fəaliyyəti ilə bağlı olmayan məsələlər,Biosferin hal-hazırki vəziyyəti və baş verə biləcək dəyişikliklər,Zavodların tullantılarının azaldılması yolları,d
420,İnsan-təbiət münasibətini optimallaşdırmaq üçün həyata keçirilən qarşılıqlı əlaqə hansıdır?,Faydalı qazıntıların açıq üsulla çıxarılması,Təbii imkanlardan istifadə edərək yolların çəkilməsi,Meteoroloji proseslərə müdaxilə,Yalnız təbii faktorların təsirini araşdırmaq,Ətraf mühitin monitorinqinin təşkili,e
421,İnsanın təsərrüfat fəaliyyəti zamanı təbiətə ənənəvi antropogen təsirə hansı misal göstərilə bilər?,Meteoroloji proseslərə təsir etməklə yağıntı əmələ gətirmək,Çayların axınının dəyişdirilməsi,Meteoroloji proseslərə müdaxilə,Zavod tullantılarının ətraf mühitə atılması,Şəhərlərin tikilməsi,d
422,Ətraf mühitin təhlilinin əsas məqsədi nədir?,Yalnız təbii faktorların təsirini araşdırmaq,İnsan-təbiət münasibətini optimallaşdırmaq,Antropogen faktorların biosferə təsirini öyrənmək,Zavod və fabrikaların məhsuldarlığını artırmaq,Təbii resursların istehlakını artırmaq,c
423,Ekoloji meyilli konversiyanın əsas üstünlüyü nədir?,Təbii resursların hasilatını artırır,Sənaye sahələrinin hamısını bərpa edir,Təbiəti mühafizə sahəsində səmərənin artırılmasına imkan verir,Sənaye sahələrində,İxrac gəlirlərini əhəmiyyətli dərəcədə artırır,c
424,İxrac siyasətinin dəyişdirilməsi üçün iqtisadiyyatın hansı sahəsində dəyişikliklər vacibdir?,Kənd təsərrüfatı sahəsində,Neft-qaz sektorunda ixracı artırmaq üçün yeni bazarların axtarılmasında,Enerji resurslarının artırılması sahəsində,Emal sənayesi və infrastruktur sahələrində,Təbii resursların hasilatı sahəsində texnologiyaların dəyişdirilməsində,d
425,Hazırda ixracdan əldə edilən gəlirin əsas hissəsi hansı məqsəd üçün istifadə edilir?,Yalnız bərpa olunan resursların ixracını məhdudlaşdırmaq,Texnoloji yeniliklərin tətbiqinə,İnfrastrukturun inkişafına,Yeyinti və kənd təsərrüfatı məhsullarının alınmasına,Enerji resurslarının artırılmasına,d
426,Hansı resurs biosferdə məhduddur?,Günəş enerjisi,Təmiz su,Vulkanik materiallar,Neft,Hava dövranı,b
427,Biosferdə həyat hansı təbəqələrdə mövcuddur?,Atmosferin yuxarı təbəqələri,"Yer qabığının üst təbəqəsi, atmosferin aşağı təbəqəsi və okeanlar",Yalnız torpaq sahələri,Dərin okeanlar,Yer qabığının dərin qatları,b
428,İnsanların meşələri məhv etməsi biosferdə hansı təsirə səbəb olur?,Karbon qazının azalması,Oksigen istehsalının azalması,Vulkan püskürmələrinin artması,Hamısı doğrudur,Azotun yox olması,b
429,Biosferin ən böyük ekosistemi hansıdır?,Tropik meşələr,Dərin okeanlar,Dağlıq ərazilər,Kriosfera,Səhralar,b
430,Hangi sahə biosferin öyrənilməsi ilə birbaşa məşğuldur?,Astronomiya,Ekologiya,Fizika,Kimya,Geologiya,b
431,Qlobal istiləşmə biosferdə hansı təsiri göstərir?,Vulkanların aktivliyini azaldır,Okean səviyyəsini artırır,Yağış miqdarını azaldır,Doğru cavab yoxdur,Torpaq eroziyasını dayandırır,b
432,Biosferin davamlılığını təmin etmək üçün hansı addım vacibdir?,Plastik istehsalını artırmaq,Biomüxtəlifliyi qorumaq,Enerji sərfini artırmaq,Hamısı doğrudur,Meşələri yandırmaq,b
433,İnsan fəaliyyəti biosferdə hansı problemi yaradır?,Neftin azalması,Oksigenin azalması,Dağların hündürlüyünün azalması,Plastik tullantıların artması,Çayların quruması,d
434,Biosferdə ən çox oksigen istehsal edən ekosistem hansıdır?,Səhra,Tropik meşələr,Dərin okeanlar,Kriosfera,Dağlıq ərazilər,b
435,Hansı təbii mühit biosferə daxil deyil?,Atmosfer,Yer qabığının dərin təbəqələri,Suyun səthindəki həyat,Doğru cavab yoxdur,Vulkanik lavalar,b
436,Hangi təbii hadisə biosferə ən az təsir edir?,Vulkan püskürməsi,Yağış,Günəşin ultrabənövşəyi şüaları,Qasırğalar,Hamısı doğrudur,b
437,İnsan fəaliyyəti biosferə necə təsir edir?,Ekosistemləri pozur,Doğru cavab yoxdur,Təbii dövranları sürətləndirir,Vulkanik püskürmələri artırır,Atmosferdəki oksigen səviyyəsini artırır,a
438,Biosferdə bitkilər hansı funksiyanı yerinə yetirir?,Mineralları istehsal edir,Karbon qazını udur və oksigen yaradır,Vulkanların püskürməsini tənzimləyir,Neft istehsal edir,Torpaq eroziyasını artırır,b
439,Hansı canlılar biosferdə azot dövranını tənzimləyir?,Bitkilər,Azot fiksasiya edən bakteriyalar,Həşəratlar,Relyef,Balıqlar,b
440,Hansı proses atmosferdə oksigen miqdarını artırır?,Suyun buxarlanması,Torpağın eroziyası,Təbii Ehtiyatsız,Fotosintez,Karbon dövranı,d
441,Biosferdə əsas karbon mənbəyi hansıdır?,Atmosferdəki karbon qazı,Okeanlar,Meşələr,Neft,Daş kömür yataqları,a
442,Biosferdə enerji dövranı hansı proseslə başlayır?,Fotosintez,Çayların axını,Torpaq əmələ gəlməsi,Təbii şərait,Vulkan püskürməsi,a
443,Hansı enerji mənbəyi biosfer üçün əsasdır?,Ayın işığı,Xüsusi təyinat,Geotermal enerji,Vulkanik enerji,Günəş enerjisi,e
444,Biosfer hansı hissələrdən ibarətdir?,"Suyun dövranı, külək","Litosfer, atmosfer, hidrosfer",Yalnız su hövzələri,Fotokimyəvi,"Vulkanik qayalar, torpaq",b
445,Biosfer nədir?,Yer qabığının yuxarı hissəsi,Canlıların yaşadığı yer kürəsinin sahəsi,Qaya və minerallar,Yüngül sənaye,Havanın hərəkəti,b
446,Hidrosferin həyat üçün əhəmiyyəti nədir?,Yalnız suvarma və enerji təminatı üçün vacibdir,Suyun təmizlənməsi və buxarlanması üçün istifadə olunur,"İqlim sisteminin tənzimlənməsi, su ehtiyatlarının davamlı dövranı, bioloji müxtəlifliyin qorunması və insan fəaliyyətinin dayanıqlılığı üçün həyati əhəmiyyət daşıyır",Atmosferin təmizlənməsi üçün vacibdir,Yalnız quraq bölgələrdə bitki örtüyünün artırılması üçün əhəmiyyətlidir,c
447,Xəzər dənizi hansı statusa görə bölüşdürülür?,Yalnız duzluluğa görə bölgü edilir,Fauna müxtəlifliyinə əsasən bölgü edilir,Dəniz kimi qəbul edildikdə yalnız 12 dəniz mili zonası bölüşdürülür,Hər iki statusda eyni şəkildə bölüşdürülür,Göl kimi qəbul edildikdə ətraf ölkələr arasında sektorlara bölünür və sərhəd xətləri ilə müəyyən edilir,e
448,Hidrosferin çirklənməsi hansı əsas problemlərə səbəb olur?,Şirin suyun miqdarının artması,Atmosferdə rütubətin azalması,Yalnız oksigen miqdarının azalması ilə məhdudlaşır,Su dövranının sürətlənməsi,"Suyun keyfiyyətinin pozulması, bioloji müxtəlifliyin azalması, ekosistemin zədələnməsi və insan sağlamlığı üçün təhlükəli vəziyyətlərin yaranması",e
449,Dəniz səviyyəsinin qalxmasının ekoloji təsirləri hansılardır?,Yalnız sahil zonasında torpaqların su altında qalması ilə nəticələnir,Okeanlarda suyun təmizlənməsi,Balıq növlərinin çoxalması,"Bataqlıqların yaranması, sahil ərazilərində binaların və infrastrukturun zədələnməsi və ekosistemin pozulması",Ətraf mühitin çirklənməsinin azalması,d
450,Xəzər dənizində brakonyerlik hansı problemi yaradır?,Çirklənmənin azalmasına səbəb olur,Duzluluq səviyyəsinin artmasına səbəb olur,Dənizdə oksigen səviyyəsinin azalmasına səbəb olur,"Balıq ehtiyatlarının tükənməsi, xüsusilə nərə balıqlarının nəsli kəsilmə təhlükəsi altında qalır və ekosistemin balansı pozulur",Qara kürünün istehsalını artırır,d
451,Dünya okeanında ən zəngin bioloji müxtəliflik hansı zonada müşahidə olunur?,Tropik qurşaqlarda,Subtropik qurşaqlarda,Materiklərin şimal sahillərində,Mülayim enliklərdə müşahidə olunur,Qütb enliklərində,d
452,Dənizlərin qovşağında oksigenlə zəngin suların yaranmasına nə səbəb olur?,Havanın hərəkətləri və buludların sıxlığı,Vulkanik fəaliyyətin təsiri,Günəşdən gələn istilik enerjisi,İsti və soyuq cərəyanların birləşməsi nəticəsində,Duzluluq fərqləri,d
453,Dünya okeanında ən yüksək şəffaflıq harada qeydə alınmışdır?,Atlantik okeanında,Qara dənizdə,"Sakit okeanın mərkəzində, 1971-ci ildə",Hind okeanında,Şimal Buzlu okeanının mərkəzində,c
454,Okeanların dərin hissələrində oksigen miqdarı niyə azalır?,Günəş şüaları dərinliklərə çatmadığı üçün,Dərin qatlarda fotosintez prosesi baş vermədiyi üçün və üzvi maddələrin parçalanması nəticəsində oksigenin tükənməsi baş verir,Vulkanik fəaliyyətlər nəticəsində oksigen istehlakı artdığı üçün,Suyun duzluluğu artdığı üçün,Dərinlikdəki suyun temperaturu çox yüksək olduğu üçün,b
455,Hidrosferin ən böyük həcmi hansı forma ilə ifadə edilir?,Şirin su ehtiyatları ilə,Atmosferdə toplanmış rütubət ilə,Qar və buzlaqlarla,"Maye halda olan su ilə, çünki hidrosferdəki suyun əsas hissəsi maye formada okeanlarda və dənizlərdə yerləşir",Yeraltı qrunt suları ilə,d
456,Xəzər dənizinin səviyyəsinin dəyişməsi hansı problemləri yaradır?,Çayların axımını gücləndirir,Neft hasilatının azalmasına səbəb olur,"Dəniz səviyyəsinin qalxması sahil zonalarında bataqlıqların yaranmasına, torpaqların və binaların su altında qalmasına, dəniz səviyyəsinin azalması isə balıqların çoxalması üçün əlverişli ərazilərin itirilməsinə səbəb olur",Ətraf mühitə təsir etmir,Sadəcə olaraq əhalinin köçürülməsi ilə nəticələnir,c
457,Okeanlarda dərinlik üzrə temperatur necə dəyişir?,Dərinlik artdıqca temperatur artır,Dərinlik artdıqca temperatur aşağı düşür,Yalnız 1000 metr dərinliyə qədər dəyişir,Dərinlikdə temperatur qəfil artır,Dərinlik artdıqca temperatur sabit qalır,b
458,Təbii resursların kadastrı nədir?,resursların sosial-iqtisadi problemlərinin həllində təbii sərvətlərdən kompleks istifadə üsuludur,təbii resurs və hadisələrin ekspertizası və monitorinqidir,təbii resurs potensialından istifadədir;,təbii resursların kəmiyyət və keyfiyyətləri haqqındakı məlumatları sistemləşdirmək və qiymətləndirməkdir,"təbii obyektlərin hüquqi, qeyri hüquqi və layihə smeta sənədləri toplusudur",d
459,Kadastr qiymətləndirilməsi ilə qiymətləndirilmir:,meşə,torpaq,neft,su,"torpaq,su,meşə",c
460,Regional proqramın hazırlanması mərhələsinə aiddir:,Proqnozun veilməsi,Proqrama aid deyil,Komplekslilik səviyyəsinin seçilməsi,seçilmiş variantın araşdırılması,layihənin maliyyələşməsi,d
461,Təbii ehtiyatlar bu istehsalda iştirak edir:,sosial sahələrində,maddi nemətlər istehsalıında,istehsalın təmərküzləşməsində,emal sahəsinin dərinləşməsində,istehsalın kooperasiyasında,b
462,Təsərrüfat fəaliyyəti nəticəsində ətraf mühitə hansı təsirə məruz qalır?,Biokimyəvi,Denudasion,Radioaktiv,"Fiziki, kimyəvi, bioloji və radioaktiv.",Eroziya,d
463,Konsentrasiyanın izn həddi bir-birindən fərqlənir:,Ayrı-ayrı ölkələrdə.,Torpaqların hamısında.,Bütün sularda.,Dənizlərdə və şirin sularda.,Bütün şəhərlərdə.,d
464,Təlabat anlayışı nədir?,İnsanların yaşayış tərzi.,Fəaliyyət növüdür.,Abstrakt termindir.,Özünü bərpa qabiliyyəti.,Sosial qrupu əhatə edir.,c
465,Ətraf mühitdən istifadə prosesi harada baş verir?,kənd təsərrüfatında.,nəqliyyatda,regionda,sənaye sahəsində,ərazidə,e
466,ƏMİ elmi öyrənir:,ərazi istehsal kompleksləri və s.,təbii ehtiyatları və s.,təbii şəraiti və s.,təbii resurs potensialını və s.,təbii ərazi komplekslərini və s.,d
467,Ətraf mühitin iqtisadiyyatı elmi aşağıdakıları öyrənir:,təbiətdə ekoloji tarazlığın indikasiyasını,təbii resursların istehsala cəlb olunmasını,təbii resurs potensialının ərazi təşkilini,təbiətlə cəmiyyətin qarşılıqlı əlaqəsini,təbii şəraitin müəyyən olunmasını,d
468,Su hövzələrinin çirklənməsindən dəyən zərərə təsir edir:,Yağıntıların miqdarı.,Su sərfi.,Suyun kimyəvi tərkibi.,Yağıntıların tərkibi.,Çirkab suların həcmi.,e
469,Atmosferin çirklənməsindən dəyən zərərə təsir edir:,Havada olan su buxarının həcmi.,Havanın kimyəvi tərkibi.,Havada olan tozun həcmi.,Zərərli maddələrin nisbi təhlükə əmsalı.,Havanın təzyiqi.,d
470,Tullantıların həcmi nəyə təsir göstərir?,Konsentrasiyanın izin həddi.,Təbii mühafizə xərcləri,Fəal çirklənmə zolaqları.,ödənişin həcminə,Tullantıların izn həddi.,d
471,Təbiəti mühafizə xərcləri bu amillərdən asılı deyil:,Tullantıların tərkibi.,Zərərli maddələrin nisbi təhlükə əmsalı.,Tullantıların ümumi həcmi.,Çirklənməyə görə ödənişlərin həcmindən,Yeni texnoloqiyanın tətbiqi.,d
472,Müəssisənin ekoloji xərcindən asılı deyil:,Tullantıların həcmindən.,Tullantıların tərkibindən.,İnqredientlərin nisbi təhlükə əmsalından.,atmosferin çirklənməyə görə ödənişinin həcmindən,Radionların ekoloji vəziyyətindən.,d
473,Təbii resurslardan səmərəli istifadənin əsas məqsədi nədir?,Ödənişlərin istifadəsini tənzimləmək,Ayrı-ayrı ödənişlərin miqdarının müəyyən olunması üsulları,Ödənişlərin tutulması,Təbiətdən istiadəni tənzimləmək.,təbiətdən istifadənin ödənişliliyini müəyyənləşdirmək,e
474,Aşağıdakılardan təbii ehtiyatlardan istifadəyə görə ödənişlərin üsullarına aid olmayan hansıdır?,Doğru cavab yoxdur.,Renta,Məsrəf.,Təkrar istehsal və ya bərpa.,axtarışlar,e
475,Müəssisələrin büdcəsi ilə torpağın çirklənməsi arasındakı qeyri müəyyənlik nədən asılıdır?,Tullantıların tərkibindən,Tullantıların həcmindən.,ödənişin həcmindən,Regionların ekoloji vəziyyətindən.,Tullantıların nisbi təhlükə əmsallarından,c
476,Atmosferin çirklənməsindən dəyən zərər asılıdır?,Havanın təzyiqindən.,Havanın tərrkibində olan su buxarlarının həcmindən.,Havada olan tozun həmindən.,Havanın kimyəvi tərkibindən.,Havaya atılan zərərli maddələrin həcmindən.,e
477,Zərərli maddələrin nisbi təhlükəlilik əmsalı nədən asılıdır?,çirklənməyə görə ödənişlərin həcmindən,Konsentrasiyanın izn həddindən,Təbii mühafizə xərclərindən.,Tullantıların izin həddindən.,Mühitin ekoloji vəziyyətindən.,a
478,Regionların ekoloji vəziyyəti ilə suyun çirklənməsi nədən asılıdır:,Tullantılırın həcmindən.,Tullantıların tərkibindən.,Tullantıların nisbi təhlükə əmsalından.,Qlobal ekoloji fonddan.,çirklənməyə görə ödənişin həcmindən,e
479,Təbiətdən istifadənin inzibati tənzimlənməsinin əsasını təşkil edir:,ekoloji sığorta,ekoloji qaydalar,ekoloji menecment,ekoloji monitorinq,ekoloji standartlar,e
480,Antropogen fəaliyyət nəticəsində ətraf mühitin çirklənməsi və tükənməsi aşağıdakılara təsir edir və ziyan yaradır:,sənayeyə-texnogen,ərzağa-kimyəvi,atmosferə-mexaniki,insan sağlamlığına-sosial,kənd təsərrüfatına-bioloji,d
481,Zamanına əsasən təbiəti mühafizə xərcələrinin həyata keçirilməsinin hansı kateqoriyaları vardır?,qısamüddətli,kapital və cari,daimi,ortamüddətli,uzunmüddətli,b
